Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,370,38785,30619,16065,1055,5247,66,2919,8974,0,6
T:\School\Capstone-TaylorGarcia\TIM,370,38785,30619,16065,1055,5247,66,2919,8974,0,6
T:\School\Capstone-TaylorGarcia\TIM\TIM,370,38785,30619,16065,1055,5247,66,2919,8974,0,6
T:\School\Capstone-TaylorGarcia\TIM\TIM\Converters,12,937,834,556,163,64,0,39,110,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Enums,4,61,53,28,0,8,0,0,0,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Models,18,1545,1391,911,82,136,2,18,62,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Properties,3,147,66,28,4,24,4,57,355,0,2
T:\School\Capstone-TaylorGarcia\TIM\TIM\Toolbars,5,309,282,220,3,18,0,9,34,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools,102,9862,8427,5050,308,1181,22,254,932,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Colors,15,1756,1514,972,68,196,8,46,220,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Conversion,18,1707,1487,782,80,172,10,48,192,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Drawing,42,3798,3203,2018,74,503,0,92,288,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Measure,15,1428,1198,672,38,194,4,36,136,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Tools\Notes,12,1173,1025,606,48,116,0,32,96,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\UserControls,53,5261,4661,2431,146,378,12,222,752,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Win32API,3,315,258,149,8,57,10,0,113,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\bin,4,42,42,7,0,0,0,0,0,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\bin\Debug,4,42,42,7,0,0,0,0,0,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\bin\Debug\QuickNotes,4,42,42,7,0,0,0,0,0,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj,152,17067,11538,6220,319,3235,4,2294,6424,0,4
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug,152,17067,11538,6220,319,3235,4,2294,6424,0,4
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\Tools,101,11095,7536,4149,216,2044,0,1515,4242,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\Tools\Colors,10,1262,864,446,24,248,0,150,420,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\Tools\Conversion,12,1516,1038,548,24,298,0,180,504,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\Tools\Drawing,26,2662,1808,1024,62,464,0,390,1092,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\Tools\Measure,10,1030,694,390,20,186,0,150,420,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\Tools\Notes,8,882,600,334,16,162,0,120,336,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\UserControls,38,4909,3343,1701,81,996,0,570,1596,0,0
